data_date,org_code,elec_type,data_value,trade_code
2021-01-01,32405,1,2114795867,U
2021-01-01,32406,1,1050042487,U
2021-01-01,32407,1,601982923,U
2021-01-01,32408,1,571182088,U
2021-01-01,32409,1,809831440,U
2021-01-01,32410,1,632584160,U
2021-01-01,32411,1,479417923,U
2021-01-01,32412,1,586418570,U
2021-01-01,32413,1,555593641,U
2021-02-01,32401,1,931552031,U
2021-02-01,32402,1,664546782,U
2021-02-01,32403,1,640725529,U
2021-02-01,32404,1,459656640,U
2021-02-01,32405,1,1251405067,U
2021-02-01,32406,1,729060323,U
2021-02-01,32407,1,358712010,U
2021-02-01,32408,1,350329480,U
2021-02-01,32409,1,549767977,U
2021-02-01,32410,1,403109401,U
2021-02-01,32411,1,285347230,U
2021-02-01,32412,1,397753656,U
2021-02-01,32413,1,326819088,U
2021-03-01,32401,1,1049703164,U
2021-03-01,32402,1,692081591,U
2021-03-01,32403,1,607221317,U
2021-03-01,32404,1,473011741,U
2021-03-01,32405,1,1349529169,U
2021-03-01,32406,1,711522315,U
2021-03-01,32407,1,312752437,U
2021-03-01,32408,1,322768648,U
2021-03-01,32409,1,493845161,U
2021-03-01,32410,1,385105544,U
2021-03-01,32411,1,288277385,U
2021-03-01,32412,1,365174309,U
2021-03-01,32413,1,302550153,U
2021-04-01,32401,1,797872347,U
2021-04-01,32402,1,536197891,U
2021-04-01,32403,1,497344813,U
2021-04-01,32404,1,369901394,U
2021-04-01,32405,1,1032744668,U
2021-04-01,32406,1,583770038,U
2021-04-01,32407,1,245108760,U
2021-04-01,32408,1,257740439,U
2021-04-01,32409,1,406395621,U
2021-04-01,32410,1,302152260,U
2021-04-01,32411,1,226592190,U
2021-04-01,32412,1,292594997,U
2021-04-01,32413,1,249916506,U
2021-05-01,32401,1,820154172,U
2021-05-01,32402,1,549978575,U
2021-05-01,32403,1,494742344,U
2021-05-01,32404,1,381556618,U
2021-05-01,32405,1,1062863672,U
2021-05-01,32406,1,580647820,U
2021-05-01,32407,1,239968047,U
2021-05-01,32408,1,254941464,U
2021-05-01,32409,1,407494866,U
2021-05-01,32410,1,299427178,U
2021-05-01,32411,1,228712929,U
2021-05-01,32412,1,292269914,U
2021-05-01,32413,1,251687690,U
2021-06-01,32401,1,1174728977,U
2021-06-01,32402,1,751908578,U
2021-06-01,32403,1,737487097,U
2021-06-01,32404,1,532031643,U
2021-06-01,32405,1,1378615495,U
2021-06-01,32406,1,671129878,U
2021-06-01,32407,1,330944971,U
2021-06-01,32408,1,385227051,U
2021-06-01,32409,1,531103918,U
2021-06-01,32410,1,416581810,U
2021-06-01,32411,1,318464270,U
2021-06-01,32412,1,381554461,U
2021-06-01,32413,1,393394910,U
2021-07-01,32401,1,1543534766,U
2021-07-01,32402,1,1221172218,U
2021-07-01,32403,1,911202930,U
2021-07-01,32404,1,813623528,U
2021-07-01,32405,1,2269629909,U
2021-07-01,32406,1,1047999646,U
2021-07-01,32407,1,450703477,U
2021-07-01,32408,1,495154576,U
2021-07-01,32409,1,725510620,U
2021-07-01,32410,1,565503660,U
2021-07-01,32411,1,453391192,U
2021-07-01,32412,1,556912038,U
2021-07-01,32413,1,496879177,U
2021-08-01,32401,1,1465346453,U
